eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,OwnerInstitutionCode,plot,transect 
NMS2,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS2,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS2,Na,HumanObservation,1,1,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS3,Na,HumanObservation,6,6,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS3,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS3,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS3,Na,HumanObservation,3,3,individuals,present,Coenosia sp.,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Coenosia,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS3,Na,HumanObservation,7,7,individuals,present,Hydrellia sp.,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Hydrellia,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,2,2,individuals,present,Coenosia sp.,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Coenosia,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,4,4,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,3,3,individuals,present,Lonchoptera sp.,Animalia,Arthropoda,Insecta,Diptera,Lonchopteridae,Lonchoptera,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Alticini (Tribe),Na,Na,Tribe,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Na,Na,larvae,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,1,1,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,1,1,individuals,present,Coenosia sp.,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Coenosia,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Sepsidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Arachnida,Trombidiformes,Bdellidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,3,3,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Agromyzidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,1,1,individuals,present,Dicyrtoma fusca,Animalia,Arthropoda,Insecta,Symphypleona,Dicyrtomidae,Dicyrtoma,fusca,Na,Species,HW&HH,Na,north,NorthMid
